     2    0.16297E+04    0.65924E-01    0.86875E+01
     3    0.13796E+04    0.10974E+00    0.94097E+01
     4    0.12209E+04    0.13054E+00    0.88509E+01
     5    0.11195E+04    0.12338E+00    0.76464E+01
     6    0.10544E+04    0.96901E-01    0.62329E+01
     7    0.10129E+04    0.64414E-01    0.48584E+01
     8    0.98734E+03    0.36743E-01    0.36606E+01
     9    0.97265E+03    0.18914E-01    0.27007E+01
    10    0.96554E+03    0.10545E-01    0.20055E+01
    11    0.96378E+03    0.83049E-02    0.15656E+01
    12    0.96603E+03    0.85452E-02    0.13529E+01
    13    0.97057E+03    0.91668E-02    0.13261E+01
    14    0.97780E+03    0.93369E-02    0.14342E+01
    15    0.98586E+03    0.95510E-02    0.16237E+01
    16    0.99542E+03    0.10362E-01    0.18496E+01
    17    0.10063E+04    0.11949E-01    0.20767E+01
    18    0.10176E+04    0.14248E-01    0.22768E+01
    19    0.10305E+04    0.16818E-01    0.24378E+01
    20    0.10435E+04    0.19292E-01    0.25498E+01
    21    0.10573E+04    0.21654E-01    0.26195E+01
    22    0.10716E+04    0.24022E-01    0.26539E+01
    23    0.10859E+04    0.26682E-01    0.26626E+01
    24    0.11006E+04    0.29910E-01    0.26567E+01
    25    0.11159E+04    0.33839E-01    0.26414E+01
    26    0.11311E+04    0.38522E-01    0.26293E+01
    27    0.11467E+04    0.43857E-01    0.26224E+01
    28    0.11625E+04    0.49736E-01    0.26142E+01
    29    0.11784E+04    0.56172E-01    0.26076E+01
    30    0.11946E+04    0.63186E-01    0.25914E+01
    31    0.12106E+04    0.70732E-01    0.25699E+01
    32    0.12271E+04    0.78792E-01    0.25303E+01
    33    0.12436E+04    0.87335E-01    0.24648E+01
    34    0.12601E+04    0.96404E-01    0.23717E+01
    35    0.12773E+04    0.10598E+00    0.22432E+01
    36    0.12944E+04    0.11604E+00    0.20892E+01
    37    0.13119E+04    0.12662E+00    0.19058E+01
    38    0.13295E+04    0.13773E+00    0.16960E+01
    39    0.13474E+04    0.14942E+00    0.14616E+01
    40    0.13655E+04    0.16171E+00    0.12033E+01
    41    0.13838E+04    0.17465E+00    0.92259E+00
    42    0.14023E+04    0.18822E+00    0.62344E+00
    43    0.14211E+04    0.20241E+00    0.30920E+00
    44    0.14402E+04    0.21720E+00   -0.22753E-01
    45    0.14596E+04    0.23255E+00   -0.37604E+00
    46    0.14794E+04    0.24847E+00   -0.75338E+00
    47    0.14996E+04    0.26492E+00   -0.11568E+01
    48    0.15199E+04    0.28191E+00   -0.15859E+01
    49    0.15404E+04    0.29944E+00   -0.20396E+01
    50    0.15613E+04    0.31750E+00   -0.25169E+01
    51    0.15824E+04    0.33604E+00   -0.30174E+01
    52    0.16040E+04    0.35504E+00   -0.35424E+01
    53    0.16259E+04    0.37448E+00   -0.40935E+01
    54    0.16482E+04    0.39434E+00   -0.46691E+01
    55    0.16707E+04    0.41462E+00   -0.52677E+01
    56    0.16936E+04    0.43534E+00   -0.58884E+01
    57    0.17170E+04    0.45649E+00   -0.65306E+01
    58    0.17407E+04    0.47801E+00   -0.71928E+01
    59    0.17648E+04    0.49984E+00   -0.78733E+01
    60    0.17893E+04    0.52191E+00   -0.85710E+01
    61    0.18142E+04    0.54415E+00   -0.92854E+01
    62    0.18395E+04    0.56657E+00   -0.10016E+02
    63    0.18652E+04    0.58920E+00   -0.10762E+02
    64    0.18913E+04    0.61206E+00   -0.11524E+02
    65    0.19179E+04    0.63515E+00   -0.12301E+02
    66    0.19448E+04    0.65843E+00   -0.13092E+02
    67    0.19721E+04    0.68181E+00   -0.13898E+02
    68    0.19998E+04    0.70523E+00   -0.14718E+02
    69    0.20280E+04    0.72863E+00   -0.15552E+02
    70    0.20565E+04    0.75199E+00   -0.16397E+02
    71    0.20854E+04    0.77526E+00   -0.17252E+02
    72    0.21148E+04    0.79846E+00   -0.18115E+02
    73    0.21445E+04    0.82153E+00   -0.18985E+02
    74    0.21746E+04    0.84444E+00   -0.19859E+02
    75    0.22050E+04    0.86715E+00   -0.20738E+02
    76    0.22358E+04    0.88959E+00   -0.21621E+02
    77    0.22670E+04    0.91173E+00   -0.22505E+02
    78    0.22986E+04    0.93353E+00   -0.23392E+02
    79    0.23305E+04    0.95494E+00   -0.24278E+02
    80    0.23627E+04    0.97594E+00   -0.25164E+02
    81    0.23954E+04    0.99648E+00   -0.26049E+02
    82    0.24284E+04    0.10165E+01   -0.26931E+02
    83    0.24617E+04    0.10361E+01   -0.27810E+02
    84    0.24954E+04    0.10551E+01   -0.28682E+02
    85    0.25292E+04    0.10735E+01   -0.29546E+02
    86    0.25633E+04    0.10913E+01   -0.30402E+02
    87    0.25976E+04    0.11085E+01   -0.31248E+02
    88    0.26320E+04    0.11250E+01   -0.32082E+02
    89    0.26666E+04    0.11409E+01   -0.32903E+02
    90    0.27014E+04    0.11559E+01   -0.33710E+02
    91    0.27362E+04    0.11703E+01   -0.34503E+02
    92    0.27714E+04    0.11838E+01   -0.35279E+02
    93    0.28066E+04    0.11965E+01   -0.36038E+02
    94    0.28420E+04    0.12083E+01   -0.36780E+02
    95    0.28775E+04    0.12192E+01   -0.37501E+02
    96    0.29131E+04    0.12293E+01   -0.38203E+02
    97    0.29490E+04    0.12383E+01   -0.38882E+02
    98    0.29849E+04    0.12465E+01   -0.39538E+02
    99    0.30209E+04    0.12536E+01   -0.40172E+02
   100    0.30571E+04    0.12599E+01   -0.40779E+02
   101    0.30932E+04    0.12652E+01   -0.41362E+02
   102    0.31294E+04    0.12694E+01   -0.41916E+02
